Description,Price,Rating,ReviewCount,Url
Amazon Basics Classic Puresoft Padded Mid-Back Office Computer Desk Chair with Armrest - Black,$87.00,4.3 out of 5 stars,"13,629",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A033751225Q1QCADXI8YQ&url=%2FAmazonBasics-Puresoft-PU-Padded-Mid-Back-Computer%2Fdp%2FB081H3Y5NW%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Doffice%2Bchair%26qid%3D1630371106%26sr%3D8-1-spons%26psc%3D1&qualifier=1630371106&id=704735514681311&widgetName=sp_atf
"Office Chair, FelixKing Ergonomic Desk Chair with Adjustable Height, Swivel Computer Mesh Chair with Lumbar Support and Flip-up Arms, Backrest with Breathable Mesh (White)",$139.99,4.3 out of 5 stars,"1,269",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02891153AZO9VHWQPH8B&url=%2FFelixKing-Ergonomic-Adjustable-Computer-Breathable%2Fdp%2FB08MCG22SD%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Doffice%2Bchair%26qid%3D1630371106%26sr%3D8-2-spons%26psc%3D1&qualifier=1630371106&id=704735514681311&widgetName=sp_atf
"Office Chair, FelixKing Ergonomic Desk Chair with Adjustable Height and Lumbar Support Swivel Lumbar Support Desk Computer Chair with Flip up Armrests for Conference Room (Black)",$118.99,4.1 out of 5 stars,"2,834",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09643292KT4N78MWAKI6&url=%2FFelixKing-Ergonomic-Adjustable-Computer-Conference%2Fdp%2FB088H3TB42%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Doffice%2Bchair%26qid%3D1630371106%26sr%3D8-3-spons%26psc%3D1&qualifier=1630371106&id=704735514681311&widgetName=sp_atf
"Home Office Chair, Ergonomic White Desk Chair Adjustable Mesh Computer Chair with Lumbar Support and Larger Seat Flip UP Armrest Swivel Rocking Executive Chair, 250Lbs Capacity",$99.99,4.3 out of 5 stars,186,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0990689NNRG1K1QOQFK&url=%2FErgonomic-Adjustable-Computer-Executive-Capacity%2Fdp%2FB098JXN29D%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Doffice%2Bchair%26qid%3D1630371106%26sr%3D8-4-spons%26psc%3D1&qualifier=1630371106&id=704735514681311&widgetName=sp_atf
Office Chair High Back Leather Executive Computer Desk Chair - Flip-up Arms and Adjustable Rock Tension Swivel Chair Thick Padding for Comfort and Ergonomic Design for Lumbar Support (Black),$169.99,4.4 out of 5 stars,"1,137",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01313832ND2U97UK5QF1&url=%2FOffice-Chair-Leather-Executive-Computer%2Fdp%2FB0874CGKST%2Fref%3Dsr_1_5_sspa%3Fdchild%3D1%26keywords%3Doffice%2Bchair%26qid%3D1630371106%26sr%3D8-5-spons%26psc%3D1&qualifier=1630371106&id=704735514681311&widgetName=sp_atf
"Home Office Chair Ergonomic Desk Chair Mesh Computer Chair with Lumbar Support Armrest Executive Rolling Swivel Adjustable Mid Back Task Chair for Women Adults, Black",$46.88,4.3 out of 5 stars,"28,428",https://www.amazon.com/Black-Office-Chair-Computer-Adjustable/dp/B00FS3VJAO/ref=sr_1_6?dchild=1&keywords=office+chair&qid=1630371106&sr=8-6
"Furmax Office Mid Back Swivel Lumbar Support Desk, Computer Ergonomic Mesh Chair with Armrest (Black)",$46.99,4.2 out of 5 stars,"36,544",https://www.amazon.com/Furmax-Support-Computer-Ergonomic-Armrest/dp/B07B7K7N3P/ref=sr_1_7?dchild=1&keywords=office+chair&qid=1630371106&sr=8-7
Amazon Basics Classic Puresoft Padded Mid-Back Office Computer Desk Chair with Armrest - Black,$87.00,4.3 out of 5 stars,"13,629",https://www.amazon.com/AmazonBasics-Puresoft-PU-Padded-Mid-Back-Computer/dp/B081H3Y5NW/ref=sr_1_8?dchild=1&keywords=office+chair&qid=1630371106&sr=8-8
ComHoma Office Computer Desk Chair Executive High Back Chair Comfortable Ergonomic Managerial Chair Adjustable PU Leather Home Office Desk Chair Swivel Black,$104.99,4.3 out of 5 stars,359,https://www.amazon.com/Executive-Comfortable-Ergonomic-Managerial-Adjustable/dp/B08P71RWKC/ref=sr_1_9?dchild=1&keywords=office+chair&qid=1630371106&sr=8-9
Homall Gaming Chair Office Chair High Back Computer Chair Leather Desk Chair Racing Executive Ergonomic Adjustable Swivel Task Chair with Headrest and Lumbar Support (White),$109.99,4.4 out of 5 stars,"52,262",https://www.amazon.com/Homall-Computer-Executive-Ergonomic-Adjustable/dp/B01MRZ02TL/ref=sr_1_10?dchild=1&keywords=office+chair&qid=1630371106&sr=8-10
